nRun,angle,targetCellId,downloadCondition,downloadTime
166,-32.9666,3,COMPLETED,35.1431
167,8.38602,3,COMPLETED,22.3341
168,-8.77476,3,UNCOMPLETED,100.0
169,-6.54616,3,COMPLETED,57.947
170,-5.58573,3,COMPLETED,43.3911
171,-9.25762,3,UNCOMPLETED,100.0
172,-45.4788,3,COMPLETED,34.9591
173,-11.0123,3,COMPLETED,45.9881
175,23.1969,3,UNCOMPLETED,100.0
176,9.2157,3,COMPLETED,72.1991
177,6.03581,3,COMPLETED,40.278
178,10.3466,3,UNCOMPLETED,100.0
179,-33.81,3,UNCOMPLETED,100.0
180,-28.0714,3,COMPLETED,35.0991
183,-35.1204,3,UNCOMPLETED,100.0
184,-32.7211,3,UNCOMPLETED,100.0
186,-1.33912,3,COMPLETED,30.789
187,17.8426,3,COMPLETED,27.921
190,-28.0682,3,UNCOMPLETED,100.0
191,2.04557,3,UNCOMPLETED,100.0
192,3.43143,3,COMPLETED,63.8861
193,-55.4106,3,COMPLETED,34.9541
194,-13.7866,3,COMPLETED,56.963
195,23.2874,3,UNCOMPLETED,100.0
196,-2.38573,3,UNCOMPLETED,100.0
197,19.1377,3,UNCOMPLETED,100.0
198,-33.1833,3,COMPLETED,33.0221
199,14.2001,3,UNCOMPLETED,100.0
200,16.5745,3,COMPLETED,28.318
