nRun,angle,targetCellId,downloadCondition,downloadTime
162,-57.0523,2,UNCOMPLETED,100.0
163,-33.3015,2,UNCOMPLETED,100.0
164,-16.7158,2,UNCOMPLETED,100.0
165,-25.0988,2,COMPLETED,34.7181
166,-32.9666,2,UNCOMPLETED,100.0
167,8.38602,2,COMPLETED,23.9821
168,-8.77476,2,COMPLETED,30.621
170,-5.58573,2,COMPLETED,44.3171
171,-9.25762,2,UNCOMPLETED,100.0
172,-45.4788,2,COMPLETED,36.0411
173,-11.0123,2,COMPLETED,48.693
174,10.2896,2,COMPLETED,41.2681
175,23.1969,2,UNCOMPLETED,100.0
176,9.2157,2,COMPLETED,76.556
177,6.03581,2,COMPLETED,41.4281
178,10.3466,2,UNCOMPLETED,100.0
179,-33.81,2,COMPLETED,33.0021
180,-28.0714,2,COMPLETED,36.582
182,-8.36979,2,COMPLETED,46.991
183,-35.1204,2,UNCOMPLETED,100.0
184,-32.7211,2,UNCOMPLETED,100.0
187,17.8426,2,COMPLETED,29.487
188,28.8218,2,COMPLETED,31.3191
189,-13.8021,2,UNCOMPLETED,100.0
190,-28.0682,2,UNCOMPLETED,100.0
191,2.04557,2,UNCOMPLETED,100.0
192,3.43143,2,COMPLETED,64.9111
193,-55.4106,2,COMPLETED,36.1891
194,-13.7866,2,COMPLETED,56.77
195,23.2874,2,UNCOMPLETED,100.0
196,-2.38573,2,UNCOMPLETED,100.0
197,19.1377,2,UNCOMPLETED,100.0
198,-33.1833,2,COMPLETED,37.001
199,14.2001,2,UNCOMPLETED,100.0
200,16.5745,2,COMPLETED,30.141
