nRun,angle,targetCellId,downloadCondition,downloadTime
156,-2.31725,-1,COMPLETED,60.422
157,-22.4489,-1,COMPLETED,22.3551
158,-25.6446,-1,UNCOMPLETED,100.0
160,8.44429,-1,UNCOMPLETED,100.0
161,-12.4885,-1,UNCOMPLETED,100.0
162,57.0523,-1,COMPLETED,94.3581
163,-33.3015,-1,COMPLETED,32.3861
164,-16.7158,-1,UNCOMPLETED,100.0
165,-25.0988,-1,COMPLETED,38.143
166,-32.9666,-1,UNCOMPLETED,100.0
167,8.38602,-1,COMPLETED,30.007
168,-8.77476,-1,UNCOMPLETED,100.0
169,-6.54616,-1,COMPLETED,61.7791
170,-5.58573,-1,COMPLETED,43.6451
171,-9.25762,-1,COMPLETED,22.3681
172,-45.4788,-1,COMPLETED,39.252
174,10.2896,-1,COMPLETED,35.4911
175,23.1969,-1,UNCOMPLETED,100.0
176,9.2157,-1,COMPLETED,78.573
177,6.03581,-1,COMPLETED,44.1071
178,10.3466,-1,UNCOMPLETED,100.0
179,-33.81,-1,UNCOMPLETED,100.0
180,-28.0714,-1,COMPLETED,36.729
181,-56.8358,-1,UNCOMPLETED,100.0
182,-8.36979,-1,COMPLETED,53.2371
183,-35.1204,-1,UNCOMPLETED,100.0
184,-32.7211,-1,COMPLETED,43.7601
185,-27.3975,-1,UNCOMPLETED,100.0
186,-1.33912,-1,COMPLETED,36.947
187,17.8426,-1,COMPLETED,36.0661
188,28.8218,-1,UNCOMPLETED,100.0
190,-28.0682,-1,UNCOMPLETED,100.0
191,2.04557,-1,UNCOMPLETED,100.0
192,3.43143,-1,COMPLETED,65.1521
194,-13.7866,-1,COMPLETED,57.043
195,23.2874,-1,UNCOMPLETED,100.0
196,-2.38573,-1,UNCOMPLETED,100.0
197,19.1377,-1,UNCOMPLETED,100.0
198,-33.1833,-1,UNCOMPLETED,100.0
199,14.2001,-1,UNCOMPLETED,100.0
200,16.5745,-1,UNCOMPLETED,100.0
